Vineyard Name,Vineyard County,Vineyard Postcode,Vineyard Country,Website Address,Ha of planted vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chafor Wine Estate - Manor Fields Vineyard,Buckinghamshire,HP22 4NR,England,www.chafor.co.uk,0.8907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaldean Estate Vineyard,Hertfordshire,SG11 2AH,England,www.chaldean.co.uk,4.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalksole Estate Vineyard,Kent,CT15 7EE,England,,2.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion Court Farm Vineyard,Kent,ME9 0JX,England,,6.0700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Boarley Farm Vineyard,Kent,ME14 3BS,England,www.chapeldown.com,63.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Bokes Farm Vineyard,Kent,TN18 4XJ,England,www.chapeldown.com,21.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Court Lodge Vineyard,Kent,ME14 3DX,England,www.chapeldown.com,43.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Kit's Coty Vineyard,Kent,ME20 7EF,England,www.chapeldown.com,40.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Scurms Farm Vineyard,Kent,TN18 5PR,England,www.chapeldown.com,14.5690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Street Farm Vineyard,Kent,ME14 3DR,England,www.chapeldown.com,30.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Down Wines - Tenterden Vineyard,Kent,TN30 7NG,England,www.chapeldown.com,7.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapel Field Vineyard - Railway Vineyard,Norfolk,NR18 9JN,England,,2.8340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charity Farm Vineyard,Essex,CM3 8RT,England,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Palmer Vineyard,East Sussex,TN36 4AD,England,www.charlespalmer-vineyards.co.uk,12.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Herring Vineyard,Hampshire,SO41 8LH,England,www.charlieherring.com,0.1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartham Vineyard,Kent,CT4 7HU,England,www.charthamvineyard.co.uk,2.1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase End Vineyard,Gloucestershire,HR8 1RS,England,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Château Lattey,Worcestershire,WR5 2QE,England,,0.1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chedworth Vineyard,Gloucestershire,GL54 4AG,England,,0.1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheniston Vineyard,West Sussex,RH17 5AS,England,,6.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chet and Waveney Valley Vineyard,Norfolk,NR15 1BT,England,www.chetvineyard.co.uk,8.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chevel Estate,Leicestershire,LE17 6DX,England,,0.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilcomb Valley Vineyard,Hampshire,SO21 1HR,England,,2.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilford Hall Vineyard,Cambridgeshire,CB21 4LE,England,www.chilfordhall.co.uk,7.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiltern Valley Vineyard (Old Luxters),Oxfordshire,RG9 6JW,England,www.chilternvalley.co.uk,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilworth Manor Vineyard,Surrey,GU4 8NN,England,chilworthmanorvineyard.com,2.8288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chingley Oast Vineyard,East Sussex,TN5 7QA,England,,0.8093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinthurst Hill Vineyard,Surrey,GU5 0QH,England,www.chinthurst.com,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claydon Vineyard,Buckinghamshire,MK18 2NG,England,,0.0547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayhill Vineyard,Essex,CM3 6HF,England,www.clayhillvineyard.co.uk,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claylands Allotments Vineyard,Nottinghamshire,S81 7BG,England,,0.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Hills Vineyard,East Sussex,TN20 6RE,England,www.claytonorganicfarm.com,4.6650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearview Vineyard,Herefordshire,HR1 4QA,England,,0.1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clee Hills Vineyard,Shropshire,SY7 9DT,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clocktower Vineyard,London,TW7 6DW,England,tonyhibbett.blogspot.co.uk,0.0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach House Vineyard (Hampshire),Hampshire,SO51 6BW,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coach House Vineyard, The",Herefordshire,HR9 7LN,England,,0.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coates & Seely - Wooldings Vineyard,Hampshire,RG28 7QT,England,www.coatesandseely.com,12.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobbslands Vineyard,Suffolk,Not known,England,,3.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobland Mill Estate,Cornwall,PL11 3DY,England,,0.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coddington Vineyard,Herefordshire,HR8 1JJ,England,www.coddingtonvineyard.co.uk,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colehurst Vineyard,Shropshire,TF9 2JB,England,,0.5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colemere Vineyard,Shropshire,SY12 0LQ,England,www.colemere.co.uk,0.9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collard, David",not known,Not known,England,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combe Hay Vineyard,Somerset,BA2 7EG,England,www.combehayvineyard.co.uk,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commonwood Vineyard,Shropshire,SY4 5SJ,England,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton Combe Vineyard,East Sussex,BN20 8DA,England,www.bobsbuzz.com,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton Green Vineyard,Gloucestershire,GL18 1LJ,England,www.comptongreen.co.uk,2.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congham Vineyard,Norfolk,PE31 6BZ,England,,0.3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy Vineyard (Gwinllan Conwy),Conwy,LL31 9JF,Wales,gwinllanconwy.co.uk,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coolhurst Vineyard,West Sussex,RH13 6HY,England,www.coolhurstvineyards.com,4.8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coombe Bottom Farm Vineyard,West Sussex,RH12 4TA,England,,5.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coombe Head Meadow Vineyard,Devon,EX17 5AA,England,www.coombeheadmeadow.co.uk,0.7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coopers Croft Vineyard,Suffolk,CB8 8UZ,England,cooperscroftvineyard.wordpress.com,0.2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copdock Hall Vineyard,Suffolk,IP8 3JZ,England,www.copdockhall.com,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corfe Castle Vineyard,Dorset,BH20 5JD,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corner House Vineyard,Oxfordshire,OX12 8JR,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corston Field Vineyard,Somerset,Not known,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossington Farms Vineyard,Kent,ME20 7DF,England,,2.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotswold Hills (Down Ampney Vyd - RAU),Gloucestershire,GL7 5QF,England,www.cotswoldhills.org.uk,2.8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court Garden Vineyard,East Sussex,BN6 8TH,England,www.courtgarden.com,7.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court House Wines,Dorset,DT9 6LF,England,,0.2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Pheasant Vineyard,Dorset,BH23 8EW,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croft Castle Vineyard,Herefordshire,HR6 9PW,England,www.nationaltrust.org.uk/croft-castle-and-parkland,0.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crofta Vineyard,Vale of Glamorgan,CF72 8NE,Wales,www.croffta-wine.co.uk,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Stream Point Vineyard,West Sussex,RH12 3HZ,England,,2.4280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crouch Ridge Vineyard,Essex,CM3 6BZ,England,www.crouchridge.com,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crouch Valley Vineyard,Essex,CM3 6HE,England,www.newhallwines.com,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crows Lane Estate,Essex,CM3 6SD,England,,5.8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curload Vineyard,Somerset,TA20 3QG,England,,0.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cwm Deri Vineyard,Pembrokeshire,SA67 8AP,Wales,www.cwm-deri.co.uk,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dadnor Court Vineyard,Herefordshire,HR9 6QL,England,,0.3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalrossach Vineyard,Aberdeenshire,AB36 8TP,Scotland,,0.0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalwood Vineyard,Devon,EX13 7EH,England,www.dalwoodvineyard.co.uk,1.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury Wine Estates,Essex,CM3 4Pl,England,www.danburywineestate.com,10.2977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danebury Vineyards,Hampshire,SO20 6JX,England,www.danebury.com,2.9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria's Vineyard,County Mayo,F28H393,Ireland,viticultureireland.blogspot.com,0.1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmoor Vineyard,Devon,TQ13 9HQ,England,,0.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmoor Way Vineyard,Devon,TQ13 9TS,England,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davenport Vineyard - Horsmonden,Kent,TN12 8EF,England,www.davenportvineyards.co.uk,7.4660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davenport Vineyard - Rotherfield,East Sussex,TN6 3RR,England,www.davenportvineyards.co.uk,1.2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daws Hill Vineyard,Buckinghamshire,HP14 4DY,England,www.dawshillvineyard.co.uk,1.7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deans Farm Vineyard,Hampshire,GU32 3NP,England,,0.1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedham Vale Vineyard,Essex,CO4 5TS,England,www.dedhamvalevineyard.com,2.6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedham Vale Vineyard,Suffolk,Not known,England,,0.5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denbies Wine Estate,Surrey,RH5 6AA,England,www.denbies.co.uk,89.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Hill Vineyard,Oxfordshire,RG9 2DN,England,www.facebook.com/devilshillvineyard,0.1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Vineyards (2020),Devon,Not known,England,,6.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillions Vineyard,West Sussex,RH17 6HH,England,,3.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dingleden Vineyard,Kent,TN17 4JX,England,,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinton Vineyard,Buckinghamshire,HP17 8UF,England,dintonwines.com,0.8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docuras Vineyard,Essex,CO4 5QB,England,,0.7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doles Ash Farm Vineyard,Dorset,DT2 7RE,England,,0.7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Hedges Vineyard,Bedfordshire,LU5 6BT,England,www.griffinfarmvineyard.co.uk,1.0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downsview Vineyard,East Sussex,TN6 3RG,England,www.downsviewvineyard.co.uk,0.6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downton Vineyard (Off Beat Wines),Wiltshire,SP5 3NW,England,www.botleysfarm.co.uk,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downwood Vineyards,Dorset,DT11 9HN,England,,Not known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreaming Squires Vineyard,Oxfordshire,OX44 7JT,England,facebook.com/DreamingSquiresVineyard,0.3440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropmore Vineyard,Buckinghamshire,SL1 8NF,England,www.dropmorewines.co.uk,0.7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunesforde Vineyard,North Yorkshire,YO26 9RX,England,www.dunesforde.com,1.6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunleavy Vineyards,North Somerset,BS40 5RS,England,www.dunleavyvineyards.co.uk,0.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunley Vineyard,Hampshire,RG28 7PU,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Urberville Wine Estate,Dorset,DT2 9SJ,England,www.durbervillevineyard.co.uk,1.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durslade Vineyard,Somerset,BA10 0JH,England,,1.6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eades Vineyard,Worcestershire,WR8 0QN,England,,2.1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlsdale Vineyard,Shropshire,SY5 0UJ,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easing Hill Vineyard (Chapel House),Worcestershire,WR6 5PA,England,www.easinghillvineyard.co.uk,1.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Malling Research Station Vineyard,Kent,ME19 6BJ,England,www.emr.ac.uk,0.7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Meon Vineyard,Hampshire,GU32 1NJ,England,www.eastmeonvineyard.co.uk,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebernoe Vineyard,West Sussex,GU28 9LH,England,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenberry Vineyard,East Sussex,TN5 7DT,England,,2.5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eglantine Vineyard,Nottinghamshire,LE12 6UX,England,www.eglantinevineyard.co.uk,1.2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elham Valley Vineyard,Kent,CT4 6LN,England,www.vineyardgardencentre.co.uk  ,0.3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elstree Vineyard,Wiltshire,SN14 6PH,England,,0.1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elysian Fields Vineyard,Cambridgeshire,CB6 3HJ,England,,1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enborne Vineyard (All Angels),West Berkshire,RG20 0HD,England,www.allangelsvineyard.co.uk,5.5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Oak Vineyard,Dorset,BH16 6BX,England,www.englishoakvineyard.co.uk,8.0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eridge Vineyard (Mike Warren Vyd),East Sussex,TN3 9LE,England,,0.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everflyht Vineyard (Chalk House),East Sussex,BN6 8XB,England,,2.6370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evremond, Domaine",Kent,ME13 9SD,England,www.domaineevremond.com,45.4624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exton Park Vineyard,Hampshire,SO32 3NW,England,www.extonparkvineyard.com,19.3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eynsfordhill Vineyard,Kent,DA4 0JL,England,,1.2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failand Farm Vineyard,North Somerset,BS8 3TR,England,www.wildwestwines.co.uk,0.1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairmile Vineyard,Oxfordshire,RG9 2LA,England,www.fairmilevineyard.co.uk,2.8920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview Vineyard Ltd,Cheshire,SY14 8LL,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Famous Lines,Warwickshire,Not known,England,,0.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Acre Farm Vineyard,Kent,TN12 9LT,England,www.faracrefarm.co.uk,0.8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farnell Estate - Benenden Vineyard,Kent,TN17 4PH,England,www.farnellfarm.co.uk,0.0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farnell Estate - Rolvenden Vineyard,Kent,TN17 4PH,England,www.farnellfarm.co.uk,2.0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fawley Vineyard,Buckinghamshire,RG9 6JA,England,,0.2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feeringbury Vineyard,Essex,CO5 9RB,England,,5.7505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenny Castle Vineyard,Somerset,BA5 1NL,England,www.fennycastlevineyard.co.uk,1.2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernhurst Vineyard,Surrey,GU27 3NW,England,,0.8097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ffynnon Lefrith,Carmarthenshire,SA18 3JH,Wales,,0.4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Barn Vineyard,Dorset,DT11 0HT,England,www.fieldbarnfarm.co.uk,0.2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Light Vineyard,Kent,CT15 6BA,England,,0.0478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Acres Vineyard,Kent,BR6 7HQ,England,www.westfisher.co.uk,0.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
